2019/06/11 00:40:56 socat[88438] E execvp("./brop", "./brop"): Permission denied
2019/06/12 03:41:50 socat[50919] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50922] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50925] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50928] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50931] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50934] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50941] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50944] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50947] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50954] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50957] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50960] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50963] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50966] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50969] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50972] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50975] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50978] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50981] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50984] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50987] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[50998] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51001] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51004] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51007] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51010] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51013] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51019] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51023] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51026] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51029] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51032] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51035] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51038] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51041] E write(6, 0xba65d0, 21): Broken pipe
2019/06/12 03:41:51 socat[51045] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51048] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51051] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51054] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51057] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51064] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51067] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51070] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51073] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51076] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51079] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51082] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51085] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51088] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51091] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51094] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51097] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51112] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51115] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51118] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51121] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51124] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51127] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51130] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51133] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:51 socat[51140] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:41:51 socat[51143] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51150] E write(6, 0xba65d0, 1): Broken pipe
2019/06/12 03:41:52 socat[51153] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51156] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51159] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51162] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51177] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51180] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51191] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:52 socat[51194] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:53 socat[51333] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:53 socat[51336] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:53 socat[51339] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:53 socat[51342] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:54 socat[51441] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51552] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51555] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51558] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51561] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51564] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51567] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51570] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51573] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51576] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:55 socat[51587] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51594] E write(6, 0xba65d0, 20): Broken pipe
2019/06/12 03:41:56 socat[51601] E write(6, 0xba65d0, 20): Broken pipe
